,Title,[All TAB] Article Rank,[All TAB] Video Rank,[All TAB] Article Matched title,[Video TAB] Video Rank,[Video TAB] Video Title,[Links] All_Tab-All_Tab_Video-Video_Tab
0,Trie | (Insert and Search) - GeeksforGeeks,NA,-1,,2,Trie - Insert and Search - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/trie-insert-and-search/"
1,N Queen Problem | Backtracking-3 - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
2,Next Greater Element - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
3,Python String | split() - GeeksforGeeks,NA,-1,,4,Python Program to Split String into List of Characters - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/python-program-to-split-string-into-list-of-characters/"
4,Variables in C   - GeeksforGeeks,NA,-1,,8,C Program to Swap 2 Numbers without using a Temporary Variable - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/c-program-to-swap-2-numbers-without-using-a-temporary-variable/"
5,For-each loop in Java - GeeksforGeeks,NA,-1,,5,for loop in Java - Videos | GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/for-loop-in-java/"
6,Understanding Logistic Regression - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
7,Unordered Sets in C   Standard Template Library -...,NA,-1,,NA,,"N/A
N/A
N/A"
8,ReactJS | Introduction to JSX - GeeksforGeeks,NA,-1,,1,React JSX and Elements - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/react-jsx-and-elements/"
9,Priority Queue in C   Standard Template Library (STL)...,NA,-1,,NA,,"N/A
N/A
N/A"
10,Diameter of a Binary Tree - GeeksforGeeks,NA,-1,,2,Diameter of a Binary Tree - Videos - GeeksforGeeks,"N/A
N/A
https://www.geeksforgeeks.org/videos/diameter-of-a-binary-tree-2ht7id/"
11,Basic Input / Output in C   - GeeksforGeeks,2,-1,Basic Input / Output in C++ - Videos - GeeksforGeeks,2,Basic Input / Output in C++ - Videos - GeeksforGeeks,"https://www.geeksforgeeks.org/videos/basic-input-output-in-c/
N/A
https://www.geeksforgeeks.org/videos/basic-input-output-in-c/"
12,LRU Cache Implementation - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
13,TCS Placement Paper | MCQ 6 - GeeksforGeeks,NA,-1,,NA,,"N/A
N/A
N/A"
